date,temperature,humidity,luminosity
2022-11-17 15:41:57.694,25.2,36.8,1069
2022-11-17 15:41:52.663,25.2,36.9,1080
2022-11-17 15:41:47.632,25.2,37.0,1076
2022-11-17 15:41:42.602,25.2,37.0,1079
2022-11-17 15:41:37.572,25.2,37.2,1078
2022-11-17 15:41:32.541,25.2,37.3,1082
2022-11-17 15:41:27.511,25.2,37.3,1078
2022-11-17 15:41:22.481,25.2,37.4,1077
2022-11-17 15:41:17.451,25.2,37.5,1081
2022-11-17 15:41:12.421,25.2,37.7,986
2022-11-17 15:41:07.390,25.2,37.6,982
2022-11-17 15:41:02.359,25.2,37.6,958
2022-11-17 15:40:57.329,25.2,37.7,956
2022-11-17 15:40:52.298,25.2,37.5,960
2022-11-17 15:40:47.267,25.2,37.3,960
2022-11-17 15:40:42.237,25.2,37.1,934
2022-11-17 15:40:37.207,25.2,37.2,943
2022-11-17 15:40:32.176,25.2,37.3,888
2022-11-17 15:40:27.146,25.2,37.5,181
2022-11-17 15:40:22.115,25.2,37.5,180
2022-11-17 15:40:17.085,25.2,37.7,173
2022-11-17 15:40:12.055,25.2,37.8,176
2022-11-17 15:40:07.024,25.2,37.9,191
2022-11-17 15:40:01.994,25.2,38.0,111
2022-11-17 15:39:56.964,25.2,38.1,205
2022-11-17 15:39:51.933,25.2,38.3,208
2022-11-17 15:39:46.902,25.3,38.4,195
2022-11-17 15:39:41.872,25.3,38.5,160
2022-11-17 15:39:36.840,25.3,38.8,165
2022-11-17 15:39:31.810,25.2,39.3,155
2022-11-17 15:39:26.779,25.3,39.9,121
2022-11-17 15:39:21.749,25.3,40.2,185
2022-11-17 15:39:16.719,25.3,40.5,202
2022-11-17 15:39:11.688,25.3,40.6,185
2022-11-17 15:39:06.659,25.3,40.1,117
2022-11-17 15:39:01.629,25.3,39.9,101
2022-11-17 15:38:56.599,25.3,39.8,103
2022-11-17 15:38:51.568,25.3,40.0,145
2022-11-17 15:38:46.538,25.3,40.5,110
2022-11-17 15:38:41.508,25.3,40.4,113
2022-11-17 15:38:36.479,25.3,40.1,109
2022-11-17 15:38:31.448,25.3,40.1,99
2022-11-17 15:38:26.419,25.2,40.3,116
2022-11-17 15:38:21.389,25.2,40.1,114
2022-11-17 15:38:16.359,25.2,39.8,103
2022-11-17 15:38:11.327,25.2,40.1,117
2022-11-17 15:38:06.298,25.2,40.3,1420
2022-11-17 15:38:01.268,25.2,40.1,1424
2022-11-17 15:37:56.238,25.2,39.1,1417
2022-11-17 15:37:51.208,25.1,39.3,1422
2022-11-17 15:37:46.178,25.1,39.2,1422
2022-11-17 15:37:41.148,25.1,38.6,1416
2022-11-17 15:37:36.118,25.1,38.9,1417
2022-11-17 15:37:31.088,25.2,39.1,1419
2022-11-17 15:37:26.057,25.1,38.5,1419
2022-11-17 15:37:21.026,25.1,38.4,1414
2022-11-17 15:37:15.996,25.1,38.6,1429
2022-11-17 15:37:10.967,25.1,38.8,1426
2022-11-17 15:37:05.936,25.1,38.8,1426
2022-11-17 15:37:00.906,25.1,39.0,1423
2022-11-17 15:36:55.875,25.1,39.2,1423
2022-11-17 15:36:50.845,25.1,39.4,1426
2022-11-17 15:36:45.814,25.1,39.8,1425
2022-11-17 15:36:40.784,25.1,39.9,1433
2022-11-17 15:36:35.753,25.1,39.7,1428
2022-11-17 15:36:30.723,25.1,38.4,1422
2022-11-17 15:36:25.694,25.1,38.1,1426
2022-11-17 15:36:20.662,25.1,37.7,1424
2022-11-17 15:36:15.631,25.1,37.6,1431
2022-11-17 15:36:10.600,25.1,37.5,1425
2022-11-17 15:36:05.569,25.0,37.6,1431
2022-11-17 15:36:00.540,25.0,37.7,1429
2022-11-17 15:35:55.510,25.0,37.9,1429
